"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone"
"00715","17.99738","-66.56104","Mercedita","PR","Puerto Rico","TRUE","","2040","62.0","72113","Ponce","{""72113"": 99.09, ""72075"": 0.91}","Ponce|Juana DÃ­az","72113|72075","FALSE","FALSE","America/Puerto_Rico"
"00716","17.99942","-66.59868","Ponce","PR","Puerto Rico","TRUE","","27166","1210.1","72113","Ponce","{""72113"": 100}","Ponce","72113","FALSE","FALSE","America/Puerto_Rico"
"00717","18.00272","-66.61146","Ponce","PR","Puerto Rico","TRUE","","15029","2445.5","72113","Ponce","{""72113"": 100}","Ponce","72113","FALSE","FALSE","America/Puerto_Rico"
"00718","18.23145","-65.76067","Naguabo","PR","Puerto Rico","TRUE","","23289","190.5","72103","Naguabo","{""72103"": 99.87, ""72037"": 0.13}","Naguabo|Ceiba","72103|72037","FALSE","FALSE","America/Puerto_Rico"
"00719","18.28879","-66.25316","Naranjito","PR","Puerto Rico","TRUE","","29523","404.1","72105","Naranjito","{""72105"": 96.91, ""72047"": 2.23, ""72045"": 0.46, ""72135"": 0.4}","Naranjito|Corozal|ComerÃ­o|Toa Alta","72105|72047|72045|72135","FALSE","FALSE","America/Puerto_Rico"
"00720","18.21559","-66.42421","Orocovis","PR","Puerto Rico","TRUE","","20816","143.2","72107","Orocovis","{""72107"": 99.27, ""72043"": 0.73}","Orocovis|Coamo","72107|72043","FALSE","FALSE","America/Puerto_Rico"
"00723","18.03139","-66.01122","Patillas","PR","Puerto Rico","TRUE","","15978","134.1","72109","Patillas","{""72109"": 99.5, ""72095"": 0.5}","Patillas|Maunabo","72109|72095","FALSE","FALSE","America/Puerto_Rico"
"00725","18.22052","-66.03962","Caguas","PR","Puerto Rico","TRUE","","77244","721.0","72025","Caguas","{""72025"": 86.56, ""72061"": 4.44, ""72129"": 2.78, ""72127"": 2.24, ""72139"": 2.08, ""72007"": 1.9}","Caguas|Guaynabo|San Lorenzo|San Juan|Trujillo Alto|Aguas Buenas","72025|72061|72129|72127|72139|72007","FALSE","FALSE","America/Puerto_Rico"
"00727","18.21142","-66.07374","Caguas","PR","Puerto Rico","TRUE","","53258","911.3","72025","Caguas","{""72025"": 100}","Caguas","72025","FALSE","FALSE","America/Puerto_Rico"
"00728","18.00697","-66.65995","Ponce","PR","Puerto Rico","TRUE","","38590","967.7","72113","Ponce","{""72113"": 100}","Ponce","72113","FALSE","FALSE","America/Puerto_Rico"
"00729","18.33524","-65.88677","Canovanas","PR","Puerto Rico","TRUE","","47826","516.5","72029","CanÃ³vanas","{""72029"": 91.45, ""72087"": 8.55}","CanÃ³vanas|LoÃ­za","72029|72087","FALSE","FALSE","America/Puerto_Rico"
